Theta	FWHM	angleerror	FWHMerror									
												
10	154.891	2	6.991									
20	133.868	2	4.863									
30	110.189	2	4.466									
40	97.563	2	4.329									
50	93.279	2	3.813									
60	101.791	2	4.01893									
70	119.71	2	5.099									
80	148.237	2	5.671									
90	175.296	2	6.561									
100	200.791	2	9.817									
110	198.684	2	12.743									
120	208.397	2	12.233									
130	203.367	2	13.828									
140	195.872	2	13.742									
150	184.803	2	10.535									
160	171.764	2	12.089									
170	166.628	2	8.43									
190	144.846	2	5.147									
200	129.122	2	3.968									
												
												
												
												
												
Lore												
												
												
												
												
												
angle	FWHM	gauss										
		angleerror	FWHerror									
10	143.056	2	4.462									
20	116.942	2	3.071									
30	93.299	2	2.718									
40	82.846	2	2.539									
50	79.973	2	2.231									
60	86.984	2	2.394									
70	102.569	2	3.267									
80	130.638	2	3.914									
90	162.641	2	4.543									
100	183.8	2	6.061									
110	193.124	2	8.553									
120	201.345	2	8.258									
130	190.67	2	9.115									
140	174.344	2	8.58									
150	165.204	2	6.814									
160	155.081	2	7.473									
170	150.479	2	7.506									
190	130.22	2	3.697									
200	110.921	2	2.531									
												
												
												
												
												
												
												
												
												
												
												
	g (Lorentz)											
angle	Peak 1		peak2									
						COS2	SIN”2	SIN(2x)				
10	2.1311	0.0008	2.1929	0.0009		0.7040410309	0.2959589691	0.8334690308	0.0516			0.1122
20	2.1236	0.0008	2.1764	0.0009		0.1665309692	0.8334690308	0.5551936219	0.0372			0.0591
30	2.1176	0.0008	2.1606	0.0009		0.0237935098	0.9762064902	0.0929095147	0.0125			0.0081
40	2.1136	0.0008	2.1515	0.0008		0.4448063781	0.5551936219	0.9878146564	0.0354			0.0749
50	2.114	0.0008	2.1502	0.0008		0.9311594361	0.0688405639	0.2564061625	0.0169			0.0184
60	2.1175	0.0008	2.1572	0.0009		0.9070904853	0.0929095147	0.3371093472	0.0206			0.0258
70	2.124	0.0008	2.1711	0.0009		0.401093213	0.598906787	0.9608697899	0.0432			0.0907
80	2.1308	0.0008	2.1898	0.0009		0.0121853436	0.9878146564	0.048147444	0.0123			0.0058
90	2.1428	0.0008	2.2138	0.0009		0.2007699655	0.7992300345	0.6418455457	0.0533			0.092
100	2.1527	0.0009	2.2352	0.0009		0.7435938375	0.2564061625	0.7626481693	0.0645			0.1247
110	2.1676	0.0009	2.2503	0.0009		0.9980425854	0.0019574146	0.0078143324	0.0064			0.0016
120	2.1748	0.0009	2.2623	0.0009		0.6628906528	0.3371093472	0.893866541	0.0736			0.1554
130	2.1818	0.0009	2.2677	0.0009		0.1349029214	0.8650970786	0.4668164929	0.0543			0.0813
140	2.185	0.0009	2.2678	0.0009		0.0391302101	0.9608697899	0.1503961469	0.0299			0.0254
150	2.1843	0.0009	2.2622	0.0009		0.4889516904	0.5110483096	0.9995117394	0.0701			0.1558
160	2.1805	0.0009	2.2525	0.0009		0.951852556	0.048147444	0.1833170706	0.027			0.026
170	2.1675	0.0009	2.2364	0.0009		0.879834155	0.120165845	0.4229040588	0.0397			0.0576
190	2.1462	0.0008	2.2047	0.0009		0.0043965995	0.9956034005	0.0175090775	0.0073			0.0022
200	2.1226	0.0008	2.1734	0.0009		0.2373518307	0.7626481693	0.7240637566	0.0407			0.074
												
												
												
												
												
												
												
												
												
angle	g 	angleerror	error									
												
10	2.1748	2	0.1122									
20	2.1325	2	0.0793									
30	2.1186	2	0.0265									
40	2.1305	2	0.0754									
50	2.1477	2	0.0364									
60	2.1503	2	0.0444									
70	2.143	2	0.0925									
80	2.1315	2	0.0263									
90	2.1573	2	0.1149									
100	2.2143	2	0.1428									
110	2.2501	2	0.0144									
120	2.2332	2	0.1644									
130	2.1936	2	0.1191									
140	2.1883	2	0.0653									
150	2.2227	2	0.1558									
160	2.2491	2	0.0608									
170	2.2282	2	0.0886									
190	2.1465	2	0.0157									
200	2.1348	2	0.087									
												
												
												
												
												
												
												
												
												
												
												
												
	g (Gaussian)											
angle	Peak 1		Peak 2									
						COS2	SIN”2	SIN(2x)				
10	2.1161	0.0008	2.1997	0.0008689847		0.7040410309	0.2959589691	0.9129452507	0.2993			0.1514
20	2.1142	0.0008	2.1819	0.0008619623		0.1665309692	0.8334690308	0.7451131605	0.8523			0.102
30	2.1117	0.0008	2.1652	0.0008553835		0.0237935098	0.9762064902	-0.3048106211	0.9998			0.033
40	2.1086	0.0008	2.1559	0.0008516769		0.4448063781	0.5551936219	-0.9938886539	0.5582			0.0941
50	2.1089	0.0008	2.1545	0.0008511372		0.9311594361	0.0688405639	-0.5063656411	0.0708			0.0458
60	2.1118	0.0008	2.1617	0.0008539734		0.9070904853	0.0929095147	0.5806111842	0.095			0.0574
70	2.1167	0.0008	2.176	0.0008596392		0.401093213	0.598906787	0.9802396594	0.6044			0.1166
80	2.1201	0.0008	2.1965	0.0008677265		0.0121853436	0.9878146564	0.2194252584	1.0226			0.0341
90	2.1265	0.0008	2.223	0.0008782123		0.2007699655	0.7992300345	-0.8011526357	0.8235			0.1567
100	2.1341	0.0008	2.2446	0.0008867193		0.7435938375	0.2564061625	-0.8732972972	0.2643			0.1906
110	2.143	0.0008	2.2604	0.0008929846		0.9980425854	0.0019574146	0.0883987125	0.0091			0.0202
120	2.1487	0.0008	2.2721	0.0008975936		0.6628906528	0.3371093472	0.9454451549	0.3464			0.2312
